Word,Count,perMillion,usage,spread,StatusRef
the,10911,75495.0,2.0,83464.49081721403,1
of,5044,34900.0,3.0,126281.17541031072,1
and,4195,29026.0,2.0,85569.17809187341,1
to,3681,25469.0,1.0,42005.956353479334,1
a,3184,22030.0,1.0,42205.36941340915,1
that,3171,21941.0,2.0,83655.60008657526,1
in,3029,20958.0,2.0,84212.51780819503,1
he,2730,18889.0,3.0,127402.03925664001,1
was,2367,16378.0,3.0,121070.5143564241,1
had,2175,15049.0,9.0,374465.9078663947,1
her,2046,14157.0,5.0,196831.69340164735,1
with,2016,13949.0,3.0,124358.4276334772,1
she,1984,13728.0,4.0,151849.06896377358,1
his,1937,13402.0,7.0,294437.20412398176,1
on,1158,8012.0,1.0,41831.77743401306,1
him,1127,7798.0,2.0,81843.53127416858,1
not,1090,7542.0,1.0,40972.33126036951,1
it,1077,7452.0,0.0,0.0,1
for,1043,7217.0,1.0,41505.06027156914,1
they,963,6663.0,2.0,89370.72974950336,1
as,875,6054.0,3.0,128381.98095039789,1
by,795,5501.0,4.0,168916.70823473882,1
would,792,5480.0,3.0,124364.50421494496,1
at,777,5376.0,2.0,79783.46060244118,1
aureliano,777,5376.0,0.0,0.0,2
but,745,5155.0,1.0,41115.28466943859,1
who,674,4663.0,2.0,82228.09214145922,1
when,670,4636.0,2.0,78910.12760837663,1
were,664,4594.0,3.0,125786.30338335253,1
one,609,4214.0,1.0,40940.2361915677,1
from,596,4124.0,2.0,84779.6579334982,1
so,564,3902.0,1.0,41877.27503847863,1
time,546,3778.0,2.0,82307.45408567805,1
an,503,3480.0,2.0,83448.99682726998,1
them,477,3300.0,2.0,89440.0270802555,1
did,471,3259.0,1.0,41743.86539203858,1
arcadio,466,3224.0,0.0,0.0,2
úrsula,459,3176.0,0.0,0.0,2
josé,437,3024.0,0.0,0.0,2
up,435,3010.0,1.0,42622.18915661516,1
which,422,2920.0,5.0,223172.2686724469,1
house,418,2892.0,5.0,202262.0339264782,1
been,414,2865.0,2.0,81710.36030367968,1
out,399,2761.0,1.0,39601.12018362167,1
buendía,392,2712.0,0.0,0.0,2
their,386,2671.0,3.0,132631.9302805998,1
only,372,2574.0,2.0,79839.65934181477,1
be,368,2546.0,0.0,0.0,1
because,356,2463.0,2.0,81287.13025818406,1
all,348,2408.0,1.0,40198.258403124964,1
into,342,2366.0,3.0,129170.4077680119,1
could,330,2283.0,2.0,85746.659505724,1
about,322,2228.0,1.0,39937.79108202607,1
no,318,2200.0,0.0,0.0,1
have,317,2193.0,0.0,0.0,1
colonel,307,2124.0,57.0,1473449.4394724204,1
more,301,2083.0,2.0,84004.67485762046,1
said,298,2062.0,2.0,74246.35893669783,1
amaranta,287,1986.0,0.0,0.0,2
segundo,283,1958.0,0.0,0.0,2
then,265,1834.0,1.0,41004.304450646094,1
where,264,1827.0,1.0,45952.204773969606,1
even,263,1820.0,2.0,76906.22240643413,1
like,252,1744.0,0.0,0.0,1
without,249,1723.0,4.0,166529.52957040464,1
there,235,1626.0,0.0,0.0,1
put,235,1626.0,2.0,84940.28048226783,1
went,228,1578.0,4.0,172739.3212218518,1
first,226,1564.0,2.0,83654.33521824513,1
